chembl_id,smiles,mw,hbd,hba,logp,rotb,ar
CHEMBL290820,Oc1ccc2c(n1)c(-c1ccccc1)cn2Cc1ccccc1,300.36100000000005,1,2,4.457200000000004,3,4
CHEMBL34160,Oc1ccc2c(c1O)SCC[C@@H]2C1=NCCN1,250.32299999999995,3,5,1.6788999999999998,1,1
CHEMBL88685,CC(=O)O.CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(Nc2ccccn2)NC1=O,421.50200000000007,5,8,-0.2563999999999948,8,1
CHEMBL293039,COc1cccc(OCC(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(Cl)CS[C@H]23)c1,398.82400000000007,2,6,1.0088999999999997,6,1
CHEMBL315561,Oc1[nH]c(S)nc2nc(-c3ccccc3)nc1-2,244.279,3,5,1.965799999999999,1,1
CHEMBL274333,O=C(CCS)N1CCCC1P(=O)(O)O,239.233,3,3,0.4324999999999999,3,0
CHEMBL439587,N=c1sc2cc(OC(F)(F)F)ccc2n1CCS(N)(=O)=O,341.33600000000007,2,5,1.3693699999999995,4,2
CHEMBL290402,CCCOc1ccc([N+](=O)[O-])cc1-c1nc2c(c(C)nn2C)c(=O)[nH]1,343.343,1,6,2.32902,5,3
CHEMBL277363,COc1ccc(C2Sc3ccccc3-n3c(CN(C)C)ccc32)cc1,350.4870000000001,0,3,4.742600000000004,4,3
CHEMBL42506,Cc1ccc(O)c(C(=O)NCCCN2CCC[C@@H]3CCCC[C@H]32)c1,330.4720000000001,2,3,3.475120000000002,5,1
CHEMBL81008,Oc1ccc2cccc(-c3cccnc3)c2n1,222.247,1,3,3.0024000000000024,1,3
CHEMBL62521,COc1c(C)nc2c(OCc3ccccc3)cccn12,268.31600000000003,0,3,3.2303200000000016,4,3
CHEMBL48060,CO[C@@]12C(COC(N)=O)C3=C(C(=O)C(C)=C(OCC4CCC4)C3=O)N1CC1NC12,403.4350000000002,2,8,0.2068000000000012,6,0
