chembl_id,smiles,mw,hbd,hba,logp,rotb,ar
CHEMBL432125,CC(C)N1CCC[C@H](c2cccc(O)c2)C1,219.328,1,2,2.9800000000000013,2,1
CHEMBL49105,O=C(CCCCC(=O)N1CCNCC1)N1CCNCC1,282.38800000000003,2,4,-0.5895999999999968,5,0
CHEMBL48974,O=C1c2ccc(-c3nn[nH]n3)cc2[C@@]23CCCC[C@H]2[C@@H]1N(CC1CCC1)CC3,377.49200000000025,1,5,3.365400000000002,3,2
CHEMBL48811,CC(=O)NN(CCC#N)c1nc2ccccc2o1,244.254,1,5,1.59898,4,2
CHEMBL300671,COCCN(N)c1nc2cc(C#N)ccc2o1,232.243,1,6,1.0259799999999997,4,2
CHEMBL48589,C#CCCN(N)c1nc2ccccc2o1,201.229,1,4,1.5312,3,2
CHEMBL48929,Cc1nc(N)ccc1CNC(=O)Cn1cccc(NS(=O)(=O)Cc2ccccc2)c1=O,441.51300000000015,3,6,1.392219999999999,8,3
CHEMBL48985,CCN(CC)C(=O)/C=C/c1ccc(OC(C)c2ccccc2)cc1,323.436,0,2,4.708200000000004,7,2
CHEMBL298314,COc1cccc2c1CC1(C2)C[C@@]2(O)C3Cc4ccc(O)c5c4C2(CCN3C)C(O5)C1=O,433.50400000000025,2,6,2.1488999999999994,1,2
CHEMBL297470,CN1CCC23c4c5ccc(O)c4OC2C(=O)C2(Cc4cc6ccccc6cc4C2)C[C@@]3(O)C1C5,453.5380000000002,2,5,3.2935000000000008,0,3
CHEMBL295962,N#CCCN(NC(N)=O)c1nc2ccccc2o1,245.242,2,5,1.1311799999999996,4,2
CHEMBL45778,CCCCN1CCC[C@H](c2cccc(O)c2)C1,233.355,1,2,3.3717000000000024,4,1
CHEMBL297123,Sc1nc(/C=C/c2ccccc2)nc2ccc(Cl)cc12,298.79800000000006,1,3,4.742300000000003,2,3
CHEMBL46226,Nn1c(/C=C/c2ccccc2)nc2ccc(Cl)cc2c1=O,297.74500000000006,1,3,2.934100000000001,2,3
