method,n_parents,median_delta_QED,mean_delta_QED,SD_delta_QED,median_delta_SA,mean_delta_SA,SD_delta_SA
scaffold-tuner,818,-0.06078543754343864,-0.039289496239696804,0.09353252591069446,0.10977563792153155,0.10884779277801548,0.1942148486347819
Random local editing,1000,-0.026223705252434754,-0.030934130462804566,0.032722257503757964,0.26839350726407796,0.2957187492741295,0.12298316262522997
CReM,860,-0.021744428196733723,-0.007802676527692977,0.06444185973440333,0.07301507454733858,0.053740718996242776,0.12970007915178194
REINVENT4 Mol2Mol,929,0.00012614173382036187,0.011153918218245065,0.08430549112826632,0.0065864373338087034,-0.009887576824787695,0.21412472499376112
